pid,clicks,visit_time,purchases,cat1,cat2
1,25,67,5,Accessories,Bags
2,15,42,2,Accessories,Bags
3,108,170,3,Accessories,Bags
4,20,29,2,Accessories,Bags
5,10,21,2,Accessories,Bags
6,8,9,0,Accessories,Bags
7,5,8,0,Accessories,Bags
8,12,12,0,Accessories,Bags
9,3,6,0,Accessories,Bags
10,4,4,0,Accessories,Bags
11,71002,355014,7100,Accessories,Bags
12,84019,420097,8401,Accessories,Bags
13,40541,202706,4054,Accessories,Bags
14,62069,310345,6206,Accessories,Bags
15,12037,60187,1203,Accessories,Bags
16,17922,89613,1792,Accessories,Bags
17,26126,130633,2612,Accessories,Bags
18,78301,391508,7830,Accessories,Bags
19,16006,80031,1600,Accessories,Bags
20,60647,303236,6064,Accessories,Bags
21,8485,42429,848,Accessories,Bags
22,36418,182091,3641,Accessories,Bags
23,33471,167355,3347,Accessories,Bags
24,95172,475864,9517,Accessories,Bags
25,49397,246985,4939,Accessories,Bags
26,38415,192076,3841,Accessories,Bags
27,28809,144049,2880,Accessories,Bags
28,5287,26438,528,Accessories,Bags
29,89866,449330,8986,Accessories,Bags
30,31147,155737,3114,Accessories,Custom Accessories
31,31330,156654,3133,Accessories,Custom Accessories
32,49394,246972,4939,Accessories,Custom Accessories
33,96083,480416,9608,Accessories,Custom Accessories
34,96638,483190,9663,Accessories,Custom Accessories
35,12552,62762,1255,Accessories,Custom Accessories
36,8523,42619,852,Accessories,Custom Accessories
37,36849,184248,3684,Accessories,Custom Accessories
38,30558,152791,3055,Accessories,Custom Accessories
39,15131,75658,1513,Accessories,Eco-Friendly Accessories
40,90729,453646,9072,Accessories,Eco-Friendly Accessories
41,36213,181065,3621,Accessories,Eco-Friendly Accessories
42,81561,407809,8156,Accessories,Eco-Friendly Accessories
43,83318,416594,8331,Accessories,Eyewear
44,10682,53412,1068,Accessories,Eyewear
45,79114,395574,7911,Accessories,Eyewear
46,52801,264006,5280,Accessories,Eyewear
47,99204,496022,9920,Accessories,Eyewear
48,27233,136165,2723,Accessories,Eyewear
49,97538,487692,9753,Accessories,Eyewear
50,35634,178172,3563,Accessories,Eyewear
51,36671,183358,3667,Accessories,Eyewear
52,23643,118219,2364,Accessories,Eyewear
53,34194,170972,3419,Accessories,Eyewear
54,32525,162628,3252,Accessories,Jewelry Storage
55,8823,44118,882,Accessories,Jewelry Storage
56,65019,325095,6501,Accessories,Jewelry Storage
57,94141,470708,9414,Accessories,Jewelry Storage
58,5863,29316,586,Accessories,Jewelry Storage
59,20149,100746,2014,Accessories,Jewelry Storage
60,70791,353957,7079,Accessories,Jewelry Storage
61,97636,488182,9763,Accessories,Jewelry Storage
62,51026,255130,5102,Accessories,Jewelry Storage
63,15084,75422,1508,Accessories,Jewelry Storage
64,41407,207036,4140,Accessories,Jewelry Storage
65,15203,76019,1520,Accessories,Jewelry Storage
66,60228,301143,6022,Accessories,Jewelry Storage
67,95545,477729,9554,Accessories,Jewelry Storage
68,94418,472092,9441,Accessories,Jewelry Storage
69,85059,425298,8505,Accessories,Jewelry Storage
70,38556,192783,3855,Accessories,Jewelry Storage
71,96737,483689,9673,Accessories,Jewelry Storage
72,96146,480733,9614,Accessories,Jewelry Storage
73,22977,114887,2297,Accessories,Kids' Bags
74,89022,445113,8902,Accessories,Kids' Bags
75,23480,117401,2348,Accessories,Kids' Bags
76,44950,224750,4495,Accessories,Kids' Bags
77,54192,270960,5419,Accessories,Kids' Bags
78,53607,268035,5360,Accessories,Kids' Bags
79,58220,291104,5822,Accessories,Kids' Bags
80,16460,82301,1646,Accessories,Kids' Bags
81,88153,440767,8815,Accessories,Kids' Bags
82,19842,99211,1984,Accessories,Laptop Accessories
83,26220,131102,2622,Accessories,Laptop Accessories
84,45749,228746,4574,Accessories,Laptop Accessories
85,9945,49729,994,Accessories,Laptop Accessories
86,20601,103005,2060,Accessories,Laptop Accessories
87,63054,315273,6305,Accessories,Laptop Accessories
88,25811,129055,2581,Accessories,Laptop Accessories
89,61390,306952,6139,Accessories,Laptop Accessories
90,61700,308501,6170,Accessories,Laptop Accessories
91,91427,457139,9142,Accessories,Laptop Accessories
92,42334,211670,4233,Accessories,Laptop Accessories
93,85198,425990,8519,Accessories,Laptop Accessories
94,236,1182,23,Accessories,Laptop Accessories
95,24653,123268,2465,Accessories,Laptop Accessories
96,36240,181203,3624,Accessories,Mobile Accessories
97,84407,422037,8440,Accessories,Mobile Accessories
98,66346,331730,6634,Accessories,Mobile Accessories
99,45467,227339,4546,Accessories,Mobile Accessories
100,98042,490213,9804,Accessories,Mobile Accessories
101,99627,498138,9962,Accessories,Mobile Accessories
102,85859,429299,8585,Accessories,Mobile Accessories
103,10342,51712,1034,Accessories,Mobile Accessories
104,9515,47578,951,Accessories,Mobile Accessories
105,45130,225650,4513,Accessories,Mobile Accessories
106,76986,384934,7698,Accessories,Mobile Accessories
107,53010,265054,5301,Accessories,Mobile Accessories
108,43361,216807,4336,Accessories,Mobile Accessories
109,32788,163942,3278,Accessories,Mobile Accessories
110,79645,398225,7964,Accessories,Mobile Accessories
111,33096,165480,3309,Accessories,Mobile Accessories
112,20746,103732,2074,Accessories,Mobile Accessories
113,75870,379353,7587,Accessories,Mobile Accessories
114,51098,255494,5109,Accessories,Mobile Accessories
115,35527,177637,3552,Accessories,Mobile Accessories
116,4682,23414,468,Accessories,Mobile Accessories
117,23585,117929,2358,Accessories,Mobile Accessories
118,85574,427870,8557,Accessories,Mobile Accessories
119,91394,456971,9139,Accessories,Mobile Accessories
120,32091,160455,3209,Accessories,Mobile Accessories
121,57938,289690,5793,Accessories,Mobile Accessories
122,84109,420546,8410,Accessories,Mobile Accessories
123,15762,78812,1576,Accessories,Mobile Accessories
124,97945,489726,9794,Accessories,Mobile Accessories
125,26583,132916,2658,Accessories,Mobile Accessories
126,97636,488183,9763,Accessories,Mobile Accessories
127,26072,130361,2607,Accessories,Mobile Accessories
128,17059,85295,1705,Accessories,Mobile Accessories
129,91784,458921,9178,Accessories,Mobile Accessories
130,99409,497047,9940,Accessories,Mobile Accessories
131,48467,242338,4846,Accessories,Mobile Accessories
132,81655,408276,8165,Accessories,Mobile Accessories
133,13830,69152,1383,Accessories,Mobile Accessories
134,53416,267081,5341,Accessories,Mobile Accessories
135,10401,52008,1040,Accessories,Personal Care
136,30275,151377,3027,Accessories,Personal Care
137,80346,401733,8034,Accessories,Personal Care
138,70517,352589,7051,Accessories,Personal Care
139,61461,307309,6146,Accessories,Personal Care
140,98491,492457,9849,Accessories,Personal Care
141,71336,356682,7133,Accessories,Personal Care
142,54341,271709,5434,Accessories,Personal Care
143,71334,356670,7133,Accessories,Personal Care
144,2884,14422,288,Accessories,Power Accessories
145,44950,224754,4495,Accessories,Power Accessories
146,13687,68438,1368,Accessories,Power Accessories
147,1941,9705,194,Accessories,Power Accessories
148,46155,230779,4615,Accessories,Power Accessories
149,45177,225887,4517,Accessories,Power Accessories
150,83962,419811,8396,Accessories,Power Accessories
151,20317,101589,2031,Accessories,Power Accessories
152,66068,330342,6606,Accessories,Power Accessories
153,54292,271462,5429,Accessories,Tech Accessories
154,8588,42942,858,Accessories,Tech Accessories
155,15815,79076,1581,Accessories,Tech Accessories
156,80670,403353,8067,Accessories,Tech Accessories
157,24064,120324,2406,Accessories,Tech Accessories
158,5191,25957,519,Accessories,Tech Accessories
159,97877,489386,9787,Accessories,Tech Accessories
160,59902,299512,5990,Accessories,Tech Accessories
161,25129,125647,2512,Accessories,Tech Accessories
162,46342,231714,4634,Accessories,Tech Accessories
163,13509,67548,1350,Accessories,Tech Accessories
164,65436,327183,6543,Accessories,Tech Accessories
165,57924,289620,5792,Accessories,Tech Accessories
166,60356,301781,6035,Accessories,Tech Accessories
167,28604,143022,2860,Accessories,Tech Accessories
168,79070,395350,7907,Accessories,Tech Accessories
169,20827,104137,2082,Accessories,Tech Accessories
170,63156,315783,6315,Accessories,Tech Accessories
171,26222,131110,2622,Accessories,Tech Accessories
172,5708,28542,570,Accessories,Tech Accessories
173,28287,141437,2828,Accessories,Tech Accessories
174,48839,244199,4883,Accessories,Tech Accessories
175,18421,92109,1842,Accessories,Tech Accessories
176,91271,456358,9127,Accessories,Tech Accessories
177,66427,332137,6642,Accessories,Tech Accessories
178,4815,24075,481,Accessories,Tech Accessories
179,9232,46160,923,Accessories,Travel Souvenirs
180,84763,423815,8476,Accessories,Wallets
181,58421,292108,5842,Accessories,Wallets
182,19404,97023,1940,Accessories,Wallets
183,39487,197438,3948,Accessories,Wallets
184,94795,473977,9479,Accessories,Wallets
185,45911,229557,4591,Accessories,Wallets
186,9592,47960,959,Accessories,Wallets
187,32345,161726,3234,Accessories,Wallets
188,93914,469571,9391,Accessories,Wallets
189,13975,69879,1397,Accessories,Wallets
190,20280,101404,2028,Accessories,Wallets
191,57516,287580,5751,Accessories,Wallets
192,65961,329806,6596,Accessories,Watches
193,98223,491117,9822,Accessories,Watches
194,33828,169142,3382,Accessories,Watches
195,14805,74026,1480,Accessories,Watches
196,85699,428496,8569,Accessories,Watches
197,75238,376192,7523,Accessories,Watches
198,62480,312400,6248,Accessories,Watches
199,32251,161259,3225,Accessories,Weather Accessories
200,48505,242529,4850,Accessories,Weather Accessories
201,26152,130763,2615,Accessories,Weather Accessories
202,92969,464847,9296,Accessories,Weather Accessories
203,25859,129297,2585,Accessories,Weather Accessories
204,89281,446409,8928,Accessories,Weather Accessories
205,47368,236844,4736,Accessories,Weather Accessories
206,21527,107639,2152,Accessories,Wine Accessories
207,47139,235696,4713,Accessories,Wine Accessories
208,42467,212335,4246,Accessories,Wine Accessories
209,72494,362472,7249,Accessories,Wine Accessories
210,41453,207266,4145,Accessories,Wine Accessories
211,65994,329971,6599,Accessories,Wine Accessories
212,32427,162136,3242,Accessories,Wine Accessories
213,23633,118166,2363,Apps,Productivity
214,85143,425716,8514,Apps,Productivity
215,55856,279280,5585,Art Supplies,Craft Kits
216,62989,314949,6298,Art Supplies,Craft Kits
217,94877,474386,9487,Art Supplies,Craft Kits
218,50458,252291,5045,Art Supplies,Craft Kits
219,77831,389159,7783,Art Supplies,Craft Kits
220,62861,314307,6286,Art Supplies,Craft Kits
221,64742,323713,6474,Art Supplies,Craft Kits
222,10910,54553,1091,Art Supplies,Digital Art Supplies
223,49887,249435,4988,Art Supplies,Digital Art Supplies
224,20187,100939,2018,Art Supplies,Digital Art Supplies
225,44761,223806,4476,Art Supplies,Digital Art Supplies
226,71064,355322,7106,Art Supplies,Drawing Supplies
227,97692,488461,9769,Art Supplies,Drawing Supplies
228,72932,364664,7293,Art Supplies,Drawing Supplies
229,82091,410459,8209,Art Supplies,Markers & Pens
230,81027,405136,8102,Art Supplies,Markers & Pens
231,91254,456272,9125,Art Supplies,Markers & Pens
232,13462,67312,1346,Art Supplies,Markers & Pens
233,10742,53710,1074,Art Supplies,Markers & Pens
234,79173,395866,7917,Art Supplies,Markers & Pens
235,6808,34040,680,Art Supplies,Markers & Pens
236,72268,361341,7226,Art Supplies,Markers & Pens
237,76784,383924,7678,Art Supplies,Painting Kits
238,78335,391677,7833,Art Supplies,Painting Kits
239,36040,180200,3604,Art Supplies,Painting Kits
240,85609,428045,8560,Art Supplies,Painting Kits
241,68397,341987,6839,Art Supplies,Painting Kits
242,43898,219493,4389,Art Supplies,Painting Supplies
243,75390,376950,7539,Art Supplies,Painting Supplies
244,34124,170624,3412,Art Supplies,Painting Supplies
245,81352,406762,8135,Art Supplies,Painting Supplies
246,33629,168145,3362,Art Supplies,Painting Supplies
247,23129,115647,2312,Art Supplies,Painting Supplies
248,34228,171143,3422,Art Supplies,Painting Supplies
249,29304,146522,2930,Art Supplies,Painting Supplies
250,58932,294661,5893,Art Supplies,Painting Supplies
251,23687,118438,2368,Art Supplies,Painting Supplies
252,40721,203605,4072,Art Supplies,Painting Supplies
253,71225,356125,7122,Art Supplies,Painting Supplies
254,18952,94761,1895,Art Supplies,Painting Supplies
255,85697,428489,8569,Art Supplies,Painting Supplies
256,79760,398800,7976,Art Supplies,Sculpting Supplies
257,59545,297726,5954,Art Supplies,Sculpting Supplies
258,2849,14248,284,Art Supplies,Sculpting Supplies
259,8622,43113,862,Art Supplies,Sculpting Supplies
260,75058,375293,7505,Art Supplies,Sculpting Supplies
261,15476,77384,1547,Art Supplies,Storage & Organization
262,68966,344834,6896,Art Supplies,Storage & Organization
263,28457,142288,2845,Art Supplies,Storage & Organization
264,10751,53756,1075,Art Supplies,Storage & Organization
265,15492,77460,1549,Art Supplies,Storage & Organization
266,30141,150705,3014,Art Supplies,Tattoo Supplies
