pid,clicks,visit_time,purchases,cat1,cat2
1,25,67,5,Electronics,Gadgets
2,15,42,2,Clothing,Fashion
3,108,170,3,Books,Education
4,20,29,2,Sports,Fitness
5,10,21,2,Automotive,Car Parts
6,8,9,0,Toys,Games
7,5,8,0,Home,Furniture
8,12,12,0,Beauty,Cosmetics
9,3,6,0,Garden,Tools
10,4,4,0,Health,Supplements
11,71002,355014,7100,Fitness,Yoga Equipment
12,84019,420097,8401,Food,Pastries
13,40541,202706,4054,Electronics,Wireless Video Transmission
14,62069,310345,6206,Home,Kitchen Accessories
15,12037,60187,1203,Food,Prepared Seafood
16,17922,89613,1792,Food,smoothies
17,26126,130633,2612,Food,Frozen Vegetables
18,78301,391508,7830,Wearable Tech,Smartwatches
19,16006,80031,1600,Electronics,Cameras & Photography
20,60647,303236,6064,Kitchen,Kitchen Storage & Organization
21,8485,42429,848,Food,Noodle Salads
22,36418,182091,3641,Photography,Lighting Equipment
23,33471,167355,3347,Clothing,Bottoms
24,95172,475864,9517,Food,Healthy Snacks
25,49397,246985,4939,Accessories,Laptop Accessories
26,38415,192076,3841,Food,Nut Butters
27,28809,144049,2880,Food,Plant-Based Yogurt
28,5287,26438,528,Books,Arts & Crafts
29,89866,449330,8986,Food,Sweet Snacks
30,31147,155737,3114,Food,Cheese Spreads
31,31330,156654,3133,Clothing,Jackets
32,49394,246972,4939,Clothing,Skirts
33,96083,480416,9608,Food,Broths
34,96638,483190,9663,Food,Household Supplies
35,12552,62762,1255,Food,Root Vegetables
36,8523,42619,852,Outdoor,Camping Equipment
37,36849,184248,3684,Food,Frozen Vegetarian Meals
38,30558,152791,3055,Outdoor,Outdoor Accessories
39,15131,75658,1513,Kitchen,Small Appliances
40,90729,453646,9072,Food,Asian Condiments
41,36213,181065,3621,Food,Poultry
42,81561,407809,8156,Food,Smoothies
43,83318,416594,8331,Beauty,Bath & Body
44,10682,53412,1068,Food,Healthy Snacks
45,79114,395574,7911,Food,Specialty Soups
46,52801,264006,5280,Food,Spicy Sauces
47,99204,496022,9920,Food,Vegetables
48,27233,136165,2723,Home,Bedding & Linens
49,97538,487692,9753,Food,Seasoning Blends
50,35634,178172,3563,Electronics,Computer Accessories
51,36671,183358,3667,Food,Prepared Poultry
52,23643,118219,2364,Food,Frozen Desserts
53,34194,170972,3419,Food,Cookies
54,32525,162628,3252,Pets,Travel Accessories
55,8823,44118,882,Pets,Grooming Supplies
56,65019,325095,6501,Food,Breads
57,94141,470708,9414,Food,Baking Ingredients
58,5863,29316,586,Food,Plant-Based Proteins
59,20149,100746,2014,Fitness,Yoga Equipment
60,70791,353957,7079,Garden,Garden Tools
61,97636,488182,9763,Office,Office Accessories
62,51026,255130,5102,Home,Home Appliances
63,15084,75422,1508,Food,Cheese
64,41407,207036,4140,Health,Wellness & Relaxation
65,15203,76019,1520,Outdoor,Fishing Equipment
66,60228,301143,6022,Food,Vegetable Sides
67,95545,477729,9554,Food,Nuts and Trail Mix
68,94418,472092,9441,Food,Marinated Poultry
69,85059,425298,8505,Garden,Garden Tools
70,38556,192783,3855,Food,Croutons
71,96737,483689,9673,Food,Nuts and Trail Mix
72,96146,480733,9614,Kitchen,Cooking Tools & Utensils
73,22977,114887,2297,Food,Healthy Snacks
74,89022,445113,8902,Kitchen,Coffee Equipment
75,23480,117401,2348,Electronics,Charging Accessories
76,44950,224750,4495,Food,Marinades and Sauces
77,54192,270960,5419,Food,Gluten-Free Desserts
78,53607,268035,5360,Kitchen,Cooking Tools & Utensils
79,58220,291104,5822,Kitchen,Cooking Appliances
80,16460,82301,1646,Food,Healthy Snacks
81,88153,440767,8815,Toys,Creative Arts & Crafts
82,19842,99211,1984,Home,Bedding & Linens
83,26220,131102,2622,Food,Ice Cream
84,45749,228746,4574,Food,Sweet Snacks
85,9945,49729,994,Outdoor,Outdoor Furniture
86,20601,103005,2060,Home,Smart Home & Security
87,63054,315273,6305,Garden,Garden Tools
88,25811,129055,2581,Food,Pasta Alternatives
89,61390,306952,6139,Food,Cooking Oils
90,61700,308501,6170,Garden,Garden Tools
91,91427,457139,9142,Food,Dried Fruits
92,42334,211670,4233,Toys,Board Games
93,85198,425990,8519,Books,Journals
94,236,1182,23,Toys,Building Toys
95,24653,123268,2465,Food,Dips and Spreads
96,36240,181203,3624,Food,Vegetables
97,84407,422037,8440,Pets,Dog Accessories
98,66346,331730,6634,Health,Pain Relief & Therapy
99,45467,227339,4546,Food,Ice Cream
100,98042,490213,9804,Food,Soups & Broths
101,99627,498138,9962,Books,Calendars
102,85859,429299,8585,Kitchen,Food Storage Solutions
103,10342,51712,1034,Kitchen,Cooking Appliances
104,9515,47578,951,Outdoor,Camping Equipment
105,45130,225650,4513,Food,Soups & Broths
106,76986,384934,7698,Home,Seasonal Home Decor
107,53010,265054,5301,Audio,Wireless Audio Accessories
108,43361,216807,4336,Outdoor,Outdoor Accessories
109,32788,163942,3278,Automotive,Automotive Accessories
110,79645,398225,7964,Food,Vegetable Sides
111,33096,165480,3309,Fitness,Fitness Accessories
112,20746,103732,2074,Food,Granola/Cereal
113,75870,379353,7587,Food,Savory Snacks
114,51098,255494,5109,Smart Home,Home Automation
115,35527,177637,3552,Food,Nuts and Trail Mix
116,4682,23414,468,Food,Condiments
117,23585,117929,2358,Kitchen,Baking Accessories
118,85574,427870,8557,Kitchen,Barware
119,91394,456971,9139,Food,Instant Soups
120,32091,160455,3209,Automotive,Phone Accessories
121,57938,289690,5793,Food,Vegetable Mixes
122,84109,420546,8410,Kitchen,Kitchen Gadgets
123,15762,78812,1576,Food,Dressing
124,97945,489726,9794,Electronics,Tablets for Kids
125,26583,132916,2658,Garden,Planters
126,97636,488183,9763,Automotive,Phone Accessories
127,26072,130361,2607,Food,Whole Grains
128,17059,85295,1705,Food,Granola and Muesli
129,91784,458921,9178,Electronics,Tablets for Kids
130,99409,497047,9940,Food,Fruit Spreads
131,48467,242338,4846,Food,Citrus Seasonings
132,81655,408276,8165,Home,Home Organization
133,13830,69152,1383,Kitchen,Blenders & Juicers
134,53416,267081,5341,Pets,Grooming Supplies
135,10401,52008,1040,Safety,Disaster Preparedness
136,30275,151377,3027,Food,Specialty Soups
137,80346,401733,8034,Fitness,Wearable Technology
138,70517,352589,7051,Home,Home Organization
139,61461,307309,6146,Kitchen,Kitchen Gadgets
140,98491,492457,9849,Kitchen,Cooking Tools & Utensils
141,71336,356682,7133,Food,Savory Snacks
142,54341,271709,5434,Kitchen,Kitchen Gadgets
143,71334,356670,7133,Pets,Pet Waste Management
144,2884,14422,288,Food,Vegetable Purees
145,44950,224754,4495,Food,Processed Meats
146,13687,68438,1368,Footwear,Home Footwear
147,1941,9705,194,Tools,Power Tools
148,46155,230779,4615,Food,Frozen Grain Bowls
149,45177,225887,4517,Wearable Tech,Fitness Monitors
150,83962,419811,8396,Home,Bedding & Linens
151,20317,101589,2031,Safety,Hearing Protection
152,66068,330342,6606,Automotive,Automotive Accessories
153,54292,271462,5429,Office,Laptop Accessories
154,8588,42942,858,Pets,Cat Furniture
155,15815,79076,1581,Food,Vegetables
156,80670,403353,8067,Food,Pasta
157,24064,120324,2406,Food,Hot Sauces
158,5191,25957,519,Accessories,Mobile Accessories
159,97877,489386,9787,Electronics,Mobile Accessories
160,59902,299512,5990,Home,Home Organization
161,25129,125647,2512,Food,Savory Snacks
162,46342,231714,4634,Food,Healthy Snacks
163,13509,67548,1350,Travel,Travel Accessories
164,65436,327183,6543,Food,Pre-Packaged Produce Kits
165,57924,289620,5792,Food,Rice Dishes
166,60356,301781,6035,Books,Journals
167,28604,143022,2860,Food,Canned Fruits
168,79070,395350,7907,Food,Prepared Seafood
169,20827,104137,2082,Pets,Grooming Supplies
170,63156,315783,6315,Home,Bedding & Linens
171,26222,131110,2622,Food,Candy
172,5708,28542,570,Furniture,Seating
173,28287,141437,2828,Kitchen,Cooking Tools & Utensils
174,48839,244199,4883,Food,Nut-Based Snacks
175,18421,92109,1842,Food,Vegetables
176,91271,456358,9127,Kitchen,Small Appliances
177,66427,332137,6642,Food,Frozen Meals
178,4815,24075,481,Food,Spicy Sauces
179,9232,46160,923,Home,Home Organization
180,84763,423815,8476,Food,Granola/Cereal
181,58421,292108,5842,Food,Frozen Desserts
182,19404,97023,1940,Food,Candy
183,39487,197438,3948,Clothing,Work Pants
184,94795,473977,9479,Kitchen,Drinkware
185,45911,229557,4591,Food,Seasoned Grains
186,9592,47960,959,Kitchen,Cooking Appliances
187,32345,161726,3234,Toys,Educational Toys
188,93914,469571,9391,Food,Frozen Appetizers
189,13975,69879,1397,Kitchen,Small Appliances
190,20280,101404,2028,Electronics,Mobile Accessories
191,57516,287580,5751,Food,Nuts and Trail Mix
192,65961,329806,6596,Food,Hot Sauces
193,98223,491117,9822,Smart Home,Smart Lighting
194,33828,169142,3382,Electronics,Networking Equipment
195,14805,74026,1480,Food,Vegetables
196,85699,428496,8569,Food,Fruits & Vegetables
197,75238,376192,7523,Food,Specialty Soups
198,62480,312400,6248,Food,Household Supplies
199,32251,161259,3225,Food,Sweeteners
200,48505,242529,4850,Accessories,Tech Accessories
201,26152,130763,2615,Outdoor,Outdoor Accessories
202,92969,464847,9296,Food,Salt & Seasoning
203,25859,129297,2585,Food,Baking Ingredients
204,89281,446409,8928,Health,Health Devices
205,47368,236844,4736,Home,Decorative Wall Art & Accessories
206,21527,107639,2152,Food,Healthy Snacks
207,47139,235696,4713,Clothing,Women's Dress Shoes
208,42467,212335,4246,Food,Syrups
209,72494,362472,7249,Food,Asian Sauces
210,41453,207266,4145,Clothing,Bottoms
211,65994,329971,6599,Food,Salt & Seasoning
212,32427,162136,3242,Home,Home Decor
213,23633,118166,2363,Food,Granola/Cereal
214,85143,425716,8514,Food,Dips
215,55856,279280,5585,Fitness,Strength Training Equipment
216,62989,314949,6298,Food,Pasta
217,94877,474386,9487,Bicycles,Accessories
218,50458,252291,5045,Home,Home Fragrance & Accessories
219,77831,389159,7783,Pets,Grooming Supplies
220,62861,314307,6286,Food,Spicy Sauces
221,64742,323713,6474,Clothing,Hoodies
222,10910,54553,1091,Food,Snacks
223,49887,249435,4988,Food,Prepared Meals
224,20187,100939,2018,Home,Home Organization
225,44761,223806,4476,Home,Home Organization
226,71064,355322,7106,Food,Marinades
227,97692,488461,9769,Kitchen,Food Storage Solutions
228,72932,364664,7293,Art Supplies,Markers & Pens
229,82091,410459,8209,Music,Instruments
230,81027,405136,8102,Food,Seasoned Grains
231,91254,456272,9125,Food,Frozen Fruit Smoothies
232,13462,67312,1346,Food,Healthy Snacks
233,10742,53710,1074,Kitchen,Cooking Appliances
234,79173,395866,7917,Health,Sleep & Relaxation
235,6808,34040,680,Health,Personal Care & Grooming
236,72268,361341,7226,Food,Salsas
237,76784,383924,7678,Food,Cheese
238,78335,391677,7833,Food,Canned Soups
239,36040,180200,3604,Food,Nuts and Trail Mix
240,85609,428045,8560,Pets,Travel Accessories
241,68397,341987,6839,Food,Pasta
242,43898,219493,4389,Outdoor,Outdoor Accessories
243,75390,376950,7539,Food,Baking Ingredients
244,34124,170624,3412,Clothing,Activewear Jackets
245,81352,406762,8135,Automotive,Car Cleaning
246,33629,168145,3362,Food,Specialty Pasta
247,23129,115647,2312,Food,Sauces
248,34228,171143,3422,Health,Oral Care & Hygiene
249,29304,146522,2930,Home,Decorative Wall Art & Accessories
250,58932,294661,5893,Food,Supplements
251,23687,118438,2368,Kitchen,Barware
252,40721,203605,4072,Toys,Building Toys
253,71225,356125,7122,Kitchen,Coffee Accessories
254,18952,94761,1895,Accessories,Personal Care
255,85697,428489,8569,Food,Gourmet Snacks
256,79760,398800,7976,Food,Frozen Vegetables
257,59545,297726,5954,Fitness,Yoga Equipment
258,2849,14248,284,Toys,Miniature Sports Games
259,8622,43113,862,Food,Meat Products
260,75058,375293,7505,Home Appliances,Floor Care Appliances
261,15476,77384,1547,Food,Healthy Snacks
262,68966,344834,6896,Toys,Building Toys
263,28457,142288,2845,Food,Frozen Appetizers
264,10751,53756,1075,Food,Dips
265,15492,77460,1549,Outdoor,Outdoor Accessories
266,30141,150705,3014,Outdoor,Outdoor Furniture
267,18565,92825,1856,Garden,Garden Tools
268,54733,273665,5473,Food,Vegetables
269,24199,120998,2419,Pets,Grooming Supplies
270,62981,314909,6298,Food,Vegetable Snacks
271,84446,422232,8444,Food,Rice
272,87901,439509,8790,Music,Instruments
273,78519,392597,7851,Food,Cuisine - Italian
274,27854,139271,2785,Automotive,Automotive Tools
275,95917,479587,9591,Food,Healthy Snacks
276,34266,171333,3426,Food,Vegetarian Meals
277,94208,471041,9420,Clothing,Jackets
278,44783,223915,4478,Accessories,Bags
279,83215,416075,8321,Outdoor,Camping Equipment
280,9593,47966,959,Food,Vegetarian Meals
281,69315,346579,6931,Home,Lighting & Lamps
282,59570,297853,5957,Food,Healthy Snacks
283,83393,416966,8339,Food,Sauces
284,34031,170155,3403,Food,Frozen Meals
285,23561,117809,2356,Home,Decorative Wall Art & Accessories
286,15217,76086,1521,Tools,Power Tools
287,48578,242893,4857,Audio,Headphones
288,61192,305960,6119,Beauty,Skincare
289,68903,344519,6890,Kitchen,Drinkware
290,1330,6651,133,Food,Fruit Spreads
291,71618,358094,7161,Garden,Gardening Accessories
292,35239,176196,3523,Food,Snacks
293,95214,476073,9521,Home Improvement,Outdoor Cleaning
294,48044,240224,4804,Sports,Team Sports
295,3054,15273,305,Health,Oral Care & Hygiene
296,82279,411399,8227,Home,Lighting & Lamps
297,98686,493430,9868,Art Supplies,Painting Supplies
298,78884,394423,7888,Health,Massage Therapy
299,53756,268784,5375,Toys,Outdoor Activity Toys
300,37076,185380,3707,Food,Salsas and Dips
301,48480,242400,4848,Outdoor,Camping Equipment
302,8868,44341,886,Outdoor,Camping Equipment
303,72552,362761,7255,Automotive,Automotive Accessories
304,47636,238180,4763,Food,Sweet Snacks
305,17757,88786,1775,Food,Dips/Spreads
306,72163,360817,7216,Kitchen,Cooking Tools & Utensils
307,16198,80992,1619,Food,Savory Snacks
308,44467,222336,4446,Travel,Travel Accessories
309,89946,449730,8994,Tools,Hand Tools
310,62410,312052,6241,Food,Cheese
311,79028,395141,7902,Food,Frozen Vegetarian Meals
312,84671,423357,8467,Food,Baking Mixes
313,41618,208091,4161,Toys,Educational Toys
314,18373,91865,1837,Food,Creamy Soups
315,16426,82133,1642,Electronics,Cameras & Photography
316,91566,457833,9156,Kitchen,Coffee Accessories
317,59326,296633,5932,Accessories,Weather Accessories
318,58068,290343,5806,Food,Herbal Tea
319,42354,211774,4235,Clothing,Shirts
320,57156,285780,5715,Food,Frozen Pizza
321,6669,33348,666,Food,Pasta Sauces
322,28081,140406,2808,Food,Cheese
323,83736,418681,8373,Toys,Educational Toys
324,78568,392844,7856,Health,Aromatherapy & Wellness
325,17706,88531,1770,Food,Soups & Broths
326,76206,381033,7620,Footwear,Outdoor Footwear
327,80924,404620,8092,Home Appliances,Floor Care Appliances
328,58401,292009,5840,Garden,Garden Tools
329,16201,81009,1620,Audio,Earbuds
330,48952,244764,4895,Food,Savory Snacks
331,86984,434922,8698,Food,Gourmet Snacks
332,57265,286328,5726,Home,Home Organization
333,15568,77842,1556,Food,Rice
334,95665,478325,9566,Health,Wellness & Relaxation
335,64938,324692,6493,Food,Dressing
336,43303,216518,4330,Food,Nuts and Trail Mix
337,96891,484456,9689,Food,Salad Mixes
338,95489,477445,9548,Electronics,Cameras & Photography
339,27645,138228,2764,Food,Soups & Broths
340,33733,168667,3373,Food,Gourmet Snacks
341,34111,170557,3411,Home Appliances,Floor Care Appliances
342,71847,359236,7184,Office,Printers & Scanners
343,89935,449679,8993,Electronics,Tablets for Kids
344,6866,34333,686,Kitchen,Food Storage Solutions
345,95664,478324,9566,Food,Frozen Vegetables
346,59419,297096,5941,Food,Nuts and Pretzels
347,33560,167800,3356,Food,Frozen Vegetables
348,15906,79534,1590,Garden,Gardening Accessories
349,74181,370909,7418,Home,Lighting & Lamps
350,59482,297412,5948,Food,Cookies
351,99937,499686,9993,Food,Sauces
352,44908,224540,4490,Bicycles,Accessories
353,30097,150488,3009,Clothing,Jackets
354,6910,34554,691,Health,Aromatherapy & Wellness
355,34006,170030,3400,Kitchen,Small Appliances
356,21728,108643,2172,Toys,Educational Toys
357,92736,463682,9273,Home,Home Organization
358,34307,171535,3430,Kitchen,Drinkware
359,68245,341227,6824,Toys,Jigsaw Puzzles
360,95234,476172,9523,Food,Tea & Coffee Mixes
361,13757,68787,1375,Food,Savory Snacks
362,51302,256513,5130,Food,Dips and Spreads
363,19503,97519,1950,Kitchen,Cooking Appliances
364,59277,296388,5927,Clothing,Handbags
365,67115,335577,6711,Food,Soups & Broths
366,99815,499077,9981,Food,Asian Sauces
367,26589,132946,2658,Office,Laptop Accessories
368,30167,150839,3016,Food,Frozen Pizza
369,81222,406110,8122,Food,Fruits
370,88930,444654,8893,Food,Ice Cream
371,34054,170272,3405,Office,Laptop Accessories
372,50823,254119,5082,Accessories,Bags
373,54259,271298,5425,Kitchen,Cookware
374,84184,420923,8418,Kitchen,Cooking Appliances
375,70232,351161,7023,Kitchen,Baking Accessories
376,64480,322400,6448,Kitchen,Kitchen Storage & Organization
377,61654,308270,6165,Pets,Grooming Supplies
378,25960,129802,2596,Outdoor,Outdoor Accessories
379,50528,252641,5052,Food,Cheese
380,66585,332929,6658,Safety,Self-Defense Tools
381,88923,444615,8892,Outdoor,Camping Equipment
382,90798,453993,9079,Food,Yogurt
383,42769,213845,4276,Clothing,Scarves
384,44916,224581,4491,Wearable Tech,Fitness Monitors
385,80341,401707,8034,Home,Home Organization
386,90601,453005,9060,Outdoor,Camping Equipment
387,71065,355325,7106,Food,Pasta
388,60810,304051,6081,Food,Savory Breakfast Options
389,970,4852,97,Toys,Educational Toys
390,21533,107666,2153,Home,Home Organization
391,76757,383788,7675,Food,Vegetarian Meals
392,59232,296161,5923,Home,Lighting & Lamps
393,57642,288213,5764,Food,Health Drinks
394,69134,345672,6913,Pets,Pet Technology
395,89097,445485,8909,Footwear,Outdoor Footwear
396,33748,168740,3374,Food,Beverages
397,93381,466908,9338,Music,Audio Equipment
398,16082,80414,1608,Accessories,Watches
399,60087,300439,6008,Toys,Outdoor Play Toys
400,56680,283402,5668,Fitness,Wearable Technology
401,6336,31681,633,Kitchen,Cooking Appliances
402,71175,355878,7117,Food,Cheese
403,10126,50631,1012,Food,Dressing
404,9849,49248,984,Toys,Outdoor Play Toys
405,88218,441091,8821,Food,Sweet Snacks
406,54111,270558,5411,Food,Healthy Snacks
407,59060,295300,5906,Books,Cookbooks & Nutrition
408,7146,35730,714,Food,Syrups
409,71488,357441,7148,Kitchen,Kitchen Gadgets
410,7563,37819,756,Food,Canned Fruits
411,12634,63174,1263,Food,Herbal Tea
412,55268,276343,5526,Food,Gourmet Snacks
