user_id,recommendations,recommended_main_categories,recommended_sub_categories,purchased_products,purchased_main_categories,purchased_sub_categories,precision@k
3,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Puzzle 3D Model Kit', 'Product_Apple AirPods 3', 'Product_Kombucha Drink']","['Food', 'Kitchen', 'Toys', 'Audio']","['Juice', 'Cooking Appliances', 'Educational Toys', 'Earbuds', 'Health Drinks']","[1, 2, 3, 5, 6, 7]","['Toys', 'Kitchen', 'Food', 'Audio']","['Educational Toys', 'Drinkware', 'Smoothies', 'Portable Speakers', 'Infused Oils', 'Asian Sauces']",0.95
4,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Smart Thermostat with Wi-Fi', 'Product_Puzzle 3D Model Kit', 'Product_Kombucha Drink']","['Food', 'Kitchen', 'Smart Home', 'Toys']","['Juice', 'Cooking Appliances', 'Smart Home Accessories', 'Educational Toys', 'Health Drinks']","[1, 2, 4, 6, 7, 8, 9, 10]","['Toys', 'Kitchen', 'Food', 'Smart Home']","['Educational Toys', 'Drinkware', 'Cooking Appliances', 'Infused Oils', 'Asian Sauces', 'Home Automation Accessories', 'Olive Products', 'Frozen Meat Products']",0.95
5,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Smart Thermostat with Wi-Fi', 'Product_Apple AirPods 3', 'Product_Puzzle 3D Model Kit']","['Food', 'Kitchen', 'Smart Home', 'Audio', 'Toys']","['Juice', 'Cooking Appliances', 'Smart Home Accessories', 'Earbuds', 'Educational Toys']","[1, 2, 3, 4, 5, 8, 9, 10]","['Toys', 'Kitchen', 'Food', 'Audio', 'Smart Home']","['Educational Toys', 'Drinkware', 'Smoothies', 'Cooking Appliances', 'Portable Speakers', 'Home Automation Accessories', 'Olive Products', 'Frozen Meat Products']",0.95
6,"['Product_Frozen Chicken Nuggets', 'Product_Smart Thermostat with Wi-Fi', 'Product_Puzzle 3D Model Kit', 'Product_Electric Stir Fry Pan', 'Product_Apple AirPods 3']","['Food', 'Smart Home', 'Toys', 'Kitchen', 'Audio']","['Frozen Meat Products', 'Smart Home Accessories', 'Educational Toys', 'Cooking Appliances', 'Earbuds']",[8],['Smart Home'],['Home Automation Accessories'],0.30000000000000004
7,"['Product_Electric Stir Fry Pan', 'Product_Fruit Medley Juice', 'Product_Puzzle 3D Model Kit', 'Product_Apple AirPods 3', 'Product_Kombucha Drink']","['Kitchen', 'Food', 'Toys', 'Audio']","['Cooking Appliances', 'Juice', 'Educational Toys', 'Earbuds', 'Health Drinks']","[3, 4]","['Food', 'Kitchen']","['Smoothies', 'Cooking Appliances']",0.8999999999999999
8,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Smart Thermostat with Wi-Fi', 'Product_Puzzle 3D Model Kit', 'Product_Apple AirPods 3']","['Food', 'Kitchen', 'Smart Home', 'Toys', 'Audio']","['Juice', 'Cooking Appliances', 'Smart Home Accessories', 'Educational Toys', 'Earbuds']","[1, 5]","['Toys', 'Audio']","['Educational Toys', 'Portable Speakers']",0.65
9,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Apple AirPods 3', 'Product_Smart Thermostat with Wi-Fi', 'Product_Puzzle 3D Model Kit']","['Food', 'Kitchen', 'Audio', 'Smart Home', 'Toys']","['Juice', 'Cooking Appliances', 'Earbuds', 'Smart Home Accessories', 'Educational Toys']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['Toys', 'Kitchen', 'Food', 'Audio', 'Smart Home']","['Educational Toys', 'Drinkware', 'Smoothies', 'Cooking Appliances', 'Portable Speakers', 'Infused Oils', 'Asian Sauces', 'Home Automation Accessories', 'Olive Products', 'Frozen Meat Products']",0.95
10,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Apple AirPods 3', 'Product_Puzzle 3D Model Kit', 'Product_Samsung Galaxy S24 Ultra']","['Food', 'Kitchen', 'Audio', 'Toys']","['Juice', 'Cooking Appliances', 'Earbuds', 'Educational Toys', 'Wireless Audio Accessories']",[5],['Audio'],['Portable Speakers'],0.55
11,"['Product_Fruit Medley Juice', 'Product_Smart Thermostat with Wi-Fi', 'Product_Apple AirPods 3', 'Product_Electric Stir Fry Pan', 'Product_Puzzle 3D Model Kit']","['Food', 'Smart Home', 'Audio', 'Kitchen', 'Toys']","['Juice', 'Smart Home Accessories', 'Earbuds', 'Cooking Appliances', 'Educational Toys']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","['Toys', 'Kitchen', 'Food', 'Audio', 'Smart Home']","['Educational Toys', 'Drinkware', 'Smoothies', 'Cooking Appliances', 'Portable Speakers', 'Infused Oils', 'Asian Sauces', 'Home Automation Accessories', 'Olive Products', 'Frozen Meat Products']",0.95
12,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Puzzle 3D Model Kit', 'Product_Smart Thermostat with Wi-Fi', 'Product_Kombucha Drink']","['Food', 'Kitchen', 'Toys', 'Smart Home']","['Juice', 'Cooking Appliances', 'Educational Toys', 'Smart Home Accessories', 'Health Drinks']","[1, 2, 3, 4, 6, 7, 8, 9]","['Toys', 'Kitchen', 'Food', 'Smart Home']","['Educational Toys', 'Drinkware', 'Smoothies', 'Cooking Appliances', 'Infused Oils', 'Asian Sauces', 'Home Automation Accessories', 'Olive Products']",0.95
13,"['Product_Fruit Medley Juice', 'Product_Electric Stir Fry Pan', 'Product_Apple AirPods 3', 'Product_Puzzle 3D Model Kit', 'Product_Smart Thermostat with Wi-Fi']","['Food', 'Kitchen', 'Audio', 'Toys', 'Smart Home']","['Juice', 'Cooking Appliances', 'Earbuds', 'Educational Toys', 'Smart Home Accessories']","[1, 2, 3, 4, 5, 6, 7, 8, 9]","['Toys', 'Kitchen', 'Food', 'Audio', 'Smart Home']","['Educational Toys', 'Drinkware', 'Smoothies', 'Cooking Appliances', 'Portable Speakers', 'Infused Oils', 'Asian Sauces', 'Home Automation Accessories', 'Olive Products']",0.95
