cart_item_id,option_name,option_value
1427,Edition,Standard
4821,Warranty,Deluxe
2078,Size,Blue
4364,Color,Large
567,Color,Red
7501,Edition,Red
2507,Warranty,Green
4577,Warranty,1 Year
4504,Warranty,Blue
4921,Warranty,Red
1563,Edition,2 Year
5023,Warranty,2 Year
6826,Warranty,Blue
7222,Size,Blue
4088,Size,Medium
4327,Edition,Standard
1740,Size,Blue
6158,Size,Blue
2015,Color,Deluxe
6857,Color,Blue
2643,Color,Large
2008,Color,Standard
310,Color,Large
1612,Color,1 Year
5184,Edition,Blue
2193,Size,Small
4256,Warranty,Large
4701,Edition,Medium
6226,Size,Green
7189,Color,Green
1560,Edition,Red
3687,Edition,Green
2622,Edition,Large
6255,Edition,Large
2832,Warranty,Medium
2479,Edition,Blue
6893,Color,Green
2104,Warranty,Small
2994,Edition,Blue
3184,Edition,Medium
3600,Color,Large
1726,Warranty,Blue
162,Edition,Medium
631,Warranty,Medium
7450,Edition,Deluxe
2557,Warranty,Medium
5620,Edition,Deluxe
4164,Size,Blue
164,Warranty,Red
195,Warranty,Small
5166,Edition,Medium
3389,Size,Blue
2122,Edition,Red
3087,Size,Medium
7561,Edition,Standard
1042,Color,Blue
160,Edition,Blue
3679,Color,1 Year
4746,Color,Blue
4846,Warranty,Small
6429,Size,Medium
1550,Color,Blue
6775,Size,Standard
6549,Warranty,Deluxe
6094,Edition,2 Year
4384,Edition,Small
964,Color,Blue
1235,Color,Standard
4143,Size,Red
2060,Warranty,2 Year
2499,Warranty,Small
610,Size,Green
2828,Edition,2 Year
4647,Size,1 Year
7392,Size,Small
5165,Edition,Standard
4307,Warranty,1 Year
1786,Edition,Red
6194,Warranty,Deluxe
5192,Color,Red
2082,Warranty,Deluxe
2881,Size,Red
4904,Size,Large
6955,Color,Deluxe
3081,Warranty,Small
2337,Edition,1 Year
2986,Edition,Red
2738,Color,Standard
2742,Size,Standard
5790,Color,Standard
4633,Warranty,Small
6210,Size,Medium
2006,Edition,Large
6081,Edition,Green
2894,Size,1 Year
2259,Warranty,1 Year
1956,Size,1 Year
4622,Color,Large
2886,Edition,Large
6586,Size,Blue
3890,Warranty,Red
253,Warranty,Standard
2472,Warranty,Blue
4037,Warranty,Small
4357,Size,Green
1864,Warranty,Blue
5883,Color,Small
806,Warranty,1 Year
827,Size,Green
5071,Size,Blue
1859,Size,2 Year
7969,Warranty,2 Year
509,Warranty,Red
7774,Color,2 Year
2899,Warranty,Blue
7644,Edition,2 Year
5413,Edition,Small
7017,Warranty,Green
2807,Color,1 Year
5305,Size,Standard
6400,Edition,Blue
6650,Size,Large
3360,Color,Medium
6734,Color,2 Year
5709,Warranty,Green
2222,Color,Deluxe
1692,Size,Large
1634,Warranty,Large
6804,Warranty,Green
258,Warranty,Deluxe
4925,Size,Small
1554,Size,Small
2589,Size,Medium
1897,Size,Small
4317,Edition,Deluxe
7197,Color,Deluxe
4853,Edition,Standard
1672,Edition,Deluxe
540,Edition,Small
2004,Color,1 Year
1835,Edition,Standard
2357,Size,Deluxe
3191,Warranty,Standard
586,Warranty,1 Year
1001,Color,Red
5445,Color,Blue
6641,Color,Medium
1352,Color,Large
6651,Color,Large
2173,Warranty,Red
824,Color,Blue
822,Color,Blue
2889,Color,Red
4628,Color,Standard
2406,Size,Deluxe
4062,Size,Large
7430,Size,Blue
1297,Size,Medium
3426,Color,Green
3981,Color,Small
6002,Color,Red
4435,Color,Green
3355,Edition,Deluxe
3205,Size,Deluxe
4186,Color,2 Year
6077,Size,Deluxe
2873,Edition,Blue
1328,Color,Red
1796,Size,Standard
4326,Edition,Blue
6528,Color,Blue
7627,Size,Small
644,Edition,Blue
1210,Edition,Large
6820,Warranty,Blue
4228,Edition,Standard
1932,Color,Medium
7506,Warranty,Blue
1954,Warranty,2 Year
3189,Edition,Deluxe
2971,Size,Small
831,Edition,Medium
5198,Edition,Small
2070,Size,Small
2418,Warranty,Red
2509,Edition,Small
919,Warranty,Deluxe
1510,Warranty,Deluxe
4698,Size,1 Year
980,Color,1 Year
6333,Color,1 Year
2885,Color,Large
1469,Size,Standard
6782,Size,Green
4705,Color,Green
4077,Warranty,Red
4690,Edition,Medium
5120,Size,Deluxe
5607,Edition,Blue
7407,Color,Green
3645,Size,Standard
7575,Edition,Large
930,Color,Deluxe
6666,Warranty,1 Year
5430,Edition,Large
6290,Size,1 Year
4860,Color,Small
1809,Color,1 Year
4590,Size,Medium
3609,Color,Blue
2293,Size,Large
623,Edition,Deluxe
648,Size,Large
4586,Size,Small
7425,Size,Blue
1576,Edition,Deluxe
5218,Size,Medium
5540,Warranty,2 Year
7631,Size,Blue
7253,Size,Standard
692,Edition,Blue
4127,Edition,Green
5037,Size,Small
1242,Color,Large
1203,Edition,Green
7552,Edition,Standard
7610,Color,Deluxe
5735,Warranty,Large
3019,Edition,Small
4508,Warranty,1 Year
4117,Color,Large
4820,Color,Large
7039,Warranty,Green
6291,Edition,Large
3759,Size,Small
6327,Warranty,2 Year
7707,Size,1 Year
6604,Size,Deluxe
3776,Color,Standard
6843,Edition,Red
3316,Edition,Large
7597,Color,Green
3686,Color,Standard
1633,Edition,Medium
4856,Size,2 Year
4567,Warranty,2 Year
7602,Edition,Red
672,Size,Small
4609,Size,2 Year
6838,Size,Blue
1052,Size,Small
805,Size,1 Year
61,Edition,Blue
5960,Warranty,Standard
1423,Warranty,Blue
7002,Edition,Green
4758,Color,Blue
5538,Color,1 Year
2792,Size,Standard
813,Size,1 Year
2002,Warranty,Blue
374,Size,Green
1572,Edition,2 Year
6716,Warranty,Green
5054,Color,Standard
695,Size,Green
4744,Warranty,Large
4213,Edition,Red
1865,Size,Small
2340,Size,Blue
3127,Edition,2 Year
4147,Edition,Large
2013,Warranty,Small
6756,Warranty,1 Year
7785,Color,1 Year
5551,Color,Green
6594,Edition,Deluxe
3727,Color,2 Year
5597,Size,1 Year
1735,Edition,2 Year
4709,Color,1 Year
6103,Color,Large
761,Edition,Deluxe
6995,Size,Small
7541,Size,Large
5997,Edition,Red
694,Edition,Red
7523,Edition,Medium
7310,Warranty,Deluxe
1224,Edition,Standard
7303,Size,Blue
6642,Warranty,Medium
5713,Color,Blue
7647,Edition,Red
7898,Color,Green
4909,Edition,Medium
992,Size,Green
6926,Size,2 Year
2254,Color,Small
3613,Color,Red
5771,Size,Standard
1005,Color,Small
3121,Edition,Deluxe
6841,Warranty,Red
688,Color,Standard
5105,Warranty,2 Year
7180,Size,Deluxe
1940,Size,Green
5971,Warranty,Standard
1272,Edition,2 Year
222,Edition,Medium
5502,Warranty,Large
3281,Edition,Large
79,Color,Green
3937,Edition,Large
5378,Warranty,Large
5205,Size,Blue
5955,Color,Blue
4663,Size,Green
5399,Warranty,Green
4387,Warranty,Standard
3616,Warranty,Green
466,Size,Red
6678,Size,Deluxe
5937,Edition,2 Year
2107,Color,Deluxe
2288,Size,1 Year
3749,Edition,Medium
2744,Warranty,Green
5855,Edition,Green
2503,Color,Medium
2578,Size,Green
7332,Size,Small
7521,Color,Large
6891,Color,Large
918,Color,Blue
1305,Warranty,Small
2730,Size,Medium
6133,Size,Small
6064,Edition,Standard
6818,Color,Green
7291,Size,Blue
1737,Color,Blue
4348,Size,Green
3967,Color,Blue
660,Color,Large
5428,Edition,2 Year
6101,Edition,Blue
2053,Size,Green
4791,Warranty,Blue
5719,Size,Deluxe
6139,Color,Green
2379,Edition,Blue
7,Warranty,1 Year
3944,Warranty,Large
6571,Edition,1 Year
93,Edition,2 Year
1649,Size,Green
7154,Warranty,Large
7994,Warranty,Deluxe
2931,Color,Standard
4847,Edition,Large
4078,Warranty,Red
3412,Warranty,Blue
5774,Color,2 Year
3809,Color,2 Year
780,Warranty,2 Year
2096,Size,Standard
4985,Warranty,1 Year
8000,Size,2 Year
841,Edition,Green
3201,Color,Blue
1390,Warranty,Small
4859,Warranty,Green
583,Warranty,Deluxe
5028,Size,Medium
2311,Warranty,Small
2795,Warranty,Blue
7095,Warranty,Large
789,Size,Large
5310,Color,1 Year
4869,Size,2 Year
2069,Size,Small
2446,Edition,Green
1168,Size,Small
136,Size,Large
2799,Color,Small
4406,Edition,Blue
5788,Edition,Large
1759,Warranty,Red
5529,Warranty,2 Year
2219,Size,Green
593,Color,Deluxe
1351,Color,Deluxe
2159,Size,Standard
6360,Size,2 Year
7908,Color,Deluxe
480,Warranty,Small
1262,Warranty,Green
6240,Color,Small
944,Color,Small
2776,Warranty,Large
5898,Warranty,Green
167,Size,Blue
5975,Size,Green
5480,Color,Green
5586,Edition,Large
7385,Warranty,1 Year
7884,Size,Blue
4870,Size,Standard
2239,Edition,Medium
2863,Warranty,Blue
5536,Size,Large
3319,Edition,Blue
624,Color,Green
2726,Warranty,Small
1730,Warranty,Blue
3619,Color,Small
1977,Size,Standard
5296,Size,Green
2790,Color,Green
5608,Color,Medium
2862,Warranty,Medium
2278,Edition,1 Year
6958,Size,Red
3576,Color,Blue
6862,Color,Small
6867,Color,Medium
7519,Color,2 Year
3683,Color,Small
4338,Color,Red
7283,Warranty,Green
329,Warranty,Medium
3192,Warranty,Blue
1470,Warranty,Deluxe
5238,Color,Small
3089,Edition,1 Year
2957,Color,2 Year
5891,Warranty,Medium
7846,Warranty,Deluxe
4336,Warranty,2 Year
205,Edition,Green
3758,Warranty,Blue
2344,Warranty,Medium
3685,Edition,Red
6648,Warranty,Green
2011,Size,Standard
3624,Color,2 Year
239,Warranty,2 Year
5759,Color,Standard
6953,Edition,Green
2296,Color,Blue
7711,Edition,Medium
1907,Edition,2 Year
2965,Color,Small
2904,Edition,Blue
7925,Warranty,Red
2621,Size,Deluxe
1211,Size,Large
6828,Edition,Green
6799,Warranty,Red
362,Color,Blue
4004,Color,Deluxe
5491,Warranty,Green
2469,Edition,Small
7641,Color,2 Year
7225,Size,Green
6253,Edition,Red
3863,Warranty,Green
7132,Size,Standard
1139,Edition,Standard
6340,Warranty,Blue
1908,Warranty,Standard
6031,Color,Deluxe
105,Color,Green
3828,Edition,Deluxe
332,Color,Green
1901,Color,Large
307,Warranty,Deluxe
3058,Color,Blue
2567,Edition,Red
5237,Edition,Blue
1227,Warranty,1 Year
433,Size,Small
3988,Edition,Large
3603,Edition,Blue
4763,Warranty,Small
3504,Size,Deluxe
6683,Warranty,Deluxe
4015,Color,1 Year
2024,Color,Standard
1996,Edition,Small
5140,Edition,Small
656,Edition,Small
2305,Color,2 Year
7671,Edition,Deluxe
1096,Color,2 Year
1014,Edition,Blue
685,Warranty,Deluxe
212,Warranty,2 Year
1742,Edition,2 Year
1399,Warranty,Large
1492,Color,Small
125,Warranty,Standard
6405,Edition,Small
5847,Color,Blue
5473,Size,Deluxe
1436,Warranty,Large
5716,Warranty,Deluxe
4896,Size,Small
3688,Color,Large
7708,Edition,Green
7343,Size,1 Year
1038,Edition,1 Year
2692,Warranty,Medium
6889,Size,2 Year
4173,Warranty,Red
5404,Warranty,Blue
3974,Edition,Blue
6800,Size,Medium
3134,Edition,2 Year
829,Color,Standard
4386,Edition,Green
888,Size,Medium
782,Warranty,Standard
1856,Edition,Medium
4372,Size,Red
1202,Size,Medium
6694,Warranty,2 Year
5501,Edition,Large
1871,Warranty,Deluxe
1885,Size,2 Year
2989,Color,Small
885,Warranty,Deluxe
6234,Warranty,Green
2722,Size,Large
4444,Size,Small
7613,Warranty,Blue
4076,Edition,Deluxe
6108,Size,Large
769,Edition,Blue
1483,Color,Green
7158,Size,Standard
696,Color,Small
4319,Color,Standard
2686,Size,Green
5068,Warranty,1 Year
4199,Size,Small
3374,Warranty,Standard
4774,Edition,2 Year
4887,Size,Standard
7689,Edition,Small
3332,Edition,Medium
6453,Color,Deluxe
7246,Edition,Green
2136,Edition,1 Year
7590,Size,Standard
4569,Size,Deluxe
464,Warranty,Deluxe
102,Size,Large
4115,Size,Small
4303,Size,Large
6757,Edition,Deluxe
1171,Color,Medium
7622,Edition,Deluxe
3251,Color,2 Year
587,Size,Deluxe
5986,Size,Deluxe
5251,Warranty,1 Year
6698,Warranty,Medium
6610,Warranty,1 Year
57,Size,1 Year
3614,Warranty,Medium
5285,Warranty,Green
5435,Size,Standard
1973,Size,Small
4600,Size,Large
2796,Size,Blue
35,Edition,Large
4769,Size,Green
5751,Size,Blue
3499,Color,Large
2508,Color,Small
3718,Color,Deluxe
3044,Color,Medium
5873,Size,Deluxe
3329,Color,Standard
1993,Edition,Red
26,Color,Standard
3899,Warranty,Medium
2696,Edition,Small
5760,Edition,Blue
5364,Edition,Standard
1142,Warranty,Large
3913,Warranty,Medium
1386,Warranty,Green
6428,Edition,Deluxe
4436,Size,Standard
3105,Color,Green
2960,Edition,Deluxe
4407,Edition,Green
3856,Color,Deluxe
407,Warranty,Small
5112,Warranty,Red
6233,Size,Small
7187,Color,Red
5795,Size,Medium
2177,Color,Large
1,Edition,Medium
6877,Edition,Blue
7406,Warranty,Green
1058,Size,2 Year
243,Warranty,Green
3669,Size,Blue
3782,Size,Standard
6894,Size,Small
5701,Color,Red
856,Size,2 Year
2693,Warranty,Medium
7909,Edition,Red
2537,Size,Red
4083,Warranty,Standard
5700,Warranty,Green
2005,Warranty,Medium
2855,Edition,Standard
5995,Color,Large
584,Color,Small
2803,Color,Medium
4356,Warranty,Blue
2748,Size,Blue
6334,Warranty,Green
1752,Edition,Large
3128,Color,2 Year
526,Warranty,Red
1695,Color,Standard
1306,Warranty,Medium
6984,Edition,Medium
545,Warranty,Deluxe
3163,Size,Red
4174,Warranty,Large
3473,Color,2 Year
1012,Edition,Deluxe
667,Size,Blue
2345,Warranty,Small
2155,Warranty,Medium
5264,Warranty,2 Year
7008,Size,Medium
870,Color,Small
2165,Warranty,Green
7224,Size,1 Year
4810,Warranty,Red
6441,Edition,Small
2068,Color,Blue
5232,Warranty,Blue
6111,Color,Standard
6717,Edition,Red
6565,Edition,Small
4421,Size,Standard
4161,Warranty,Blue
69,Edition,Deluxe
392,Color,Standard
1843,Edition,Red
6381,Color,Deluxe
7487,Size,Deluxe
5431,Color,2 Year
4905,Size,Medium
4358,Edition,1 Year
4940,Size,Medium
6034,Edition,Small
1666,Warranty,2 Year
1950,Color,1 Year
6089,Color,1 Year
1511,Color,Medium
771,Color,Green
2991,Edition,2 Year
5429,Edition,1 Year
1909,Color,Standard
7540,Size,Large
7865,Color,Deluxe
7789,Edition,Standard
2538,Color,Blue
6507,Size,Red
1206,Edition,Deluxe
2454,Edition,Red
7861,Size,1 Year
5773,Color,1 Year
6393,Warranty,Large
1385,Warranty,Small
3557,Color,Green
5557,Edition,Red
4269,Color,Deluxe
4678,Size,Large
2307,Color,Deluxe
4827,Edition,Blue
4273,Size,Green
6272,Edition,Medium
4754,Size,2 Year
538,Color,Medium
2669,Edition,1 Year
4986,Edition,1 Year
7373,Size,Medium
3947,Edition,Deluxe
3752,Warranty,Medium
4392,Size,1 Year
5692,Color,Deluxe
5666,Edition,2 Year
5017,Size,Deluxe
6746,Color,2 Year
5933,Size,Blue
7780,Warranty,2 Year
6987,Edition,Deluxe
4799,Edition,Small
1112,Color,2 Year
2463,Size,Small
3062,Warranty,Red
6083,Edition,2 Year
280,Size,Green
4652,Warranty,Medium
559,Edition,1 Year
2661,Warranty,Standard
6515,Color,Standard
1964,Edition,Red
5317,Warranty,Medium
3543,Warranty,Deluxe
87,Size,Medium
6845,Color,Green
6025,Warranty,Red
3196,Warranty,2 Year
6839,Edition,Red
3040,Color,2 Year
6299,Color,Blue
1174,Color,Small
364,Edition,Medium
3160,Size,Small
4249,Edition,Blue
7415,Size,Small
4492,Warranty,2 Year
6015,Edition,Blue
5693,Edition,Deluxe
6458,Edition,Small
4089,Size,Green
6983,Edition,2 Year
5595,Color,Standard
5542,Warranty,Red
5303,Warranty,Small
5322,Color,Small
5818,Color,Green
4749,Color,1 Year
6553,Warranty,1 Year
5768,Warranty,Large
5030,Color,Standard
5853,Color,1 Year
652,Color,Green
5352,Warranty,Medium
4935,Color,2 Year
1061,Size,2 Year
2760,Size,2 Year
1537,Size,Deluxe
7777,Warranty,Green
4354,Edition,Medium
2548,Warranty,Deluxe
2432,Warranty,Medium
7024,Edition,Green
4542,Size,Deluxe
334,Edition,Medium
2777,Size,Medium
5712,Color,Large
6304,Size,Small
465,Size,2 Year
2530,Edition,Blue
1857,Edition,Medium
2978,Color,Small
2474,Color,1 Year
2094,Color,Small
6971,Size,Red
1381,Size,Deluxe
844,Color,2 Year
4915,Edition,Blue
6999,Warranty,Green
1817,Color,Blue
4753,Color,Medium
1215,Size,2 Year
3574,Color,2 Year
3152,Warranty,Green
6751,Edition,Green
6980,Edition,2 Year
7584,Size,Small
7725,Size,2 Year
4329,Edition,Medium
2890,Warranty,Blue
5563,Warranty,Red
1767,Warranty,Green
5561,Color,Blue
2700,Size,Deluxe
5942,Warranty,Deluxe
4274,Edition,Small
340,Edition,Red
70,Color,Red
6224,Size,Large
430,Edition,2 Year
2183,Size,1 Year
4630,Size,Blue
2869,Size,Large
276,Color,Medium
7637,Color,Standard
4822,Size,Red
1803,Size,Large
5875,Edition,Green
7124,Size,Green
3571,Color,2 Year
4528,Edition,Small
5714,Warranty,Red
4643,Color,Green
4743,Warranty,Standard
74,Color,Deluxe
4464,Color,Standard
1229,Color,Standard
6901,Edition,Small
1751,Warranty,Small
1757,Color,2 Year
2267,Warranty,Small
4737,Edition,Blue
7803,Size,Red
7404,Warranty,Medium
3523,Warranty,Deluxe
2244,Warranty,Large
5344,Warranty,Red
154,Size,Standard
5846,Edition,Large
7247,Color,Standard
5780,Warranty,Medium
46,Size,Blue
809,Warranty,Medium
1640,Size,Blue
5691,Warranty,Standard
5091,Size,Large
3014,Size,Red
2561,Color,1 Year
3826,Edition,Blue
5136,Edition,Deluxe
3213,Color,Small
6682,Size,Blue
7588,Size,Small
936,Warranty,Deluxe
1284,Warranty,2 Year
6212,Edition,Large
664,Size,Green
1022,Size,Green
3397,Edition,Medium
5153,Edition,Medium
736,Edition,Standard
6518,Edition,2 Year
5329,Edition,2 Year
4675,Warranty,1 Year
1018,Warranty,Red
5705,Color,Standard
4279,Edition,Red
288,Size,Standard
410,Size,Green
2074,Warranty,2 Year
7990,Warranty,1 Year
4530,Warranty,1 Year
5245,Size,Small
66,Warranty,Large
6205,Warranty,Red
5233,Size,Small
5499,Warranty,Small
383,Size,Blue
7855,Size,Deluxe
3707,Color,1 Year
5125,Edition,Green
6626,Warranty,Blue
6464,Size,Small
