id,price_at_add,product_id,quantity,user_id,added_at
1,583.84,1837,4,3626,2025-04-04 07:20:05
2,1393.15,1590,2,4819,2025-07-15 15:39:50
3,401.68,4332,2,483,2025-04-05 05:50:34
4,1038.05,1145,1,2187,2025-09-07 02:02:56
5,1453.46,498,2,4934,2025-07-25 01:33:59
6,1504.74,1305,3,602,2025-08-03 05:45:05
7,1549.64,4172,4,613,2025-08-08 03:17:04
8,1105.85,4330,2,1004,2025-06-10 21:34:45
9,444.57,3848,4,1389,2025-09-06 14:24:37
10,1886.83,1447,1,2703,2025-07-08 22:21:31
11,1035.65,2640,1,3006,2025-09-02 11:16:19
12,1300.71,3718,1,2031,2025-05-16 03:44:26
13,226.62,173,5,4937,2025-04-24 03:52:06
14,894.42,1991,1,4048,2025-08-23 07:15:50
15,695.49,1697,2,1634,2025-05-31 09:37:40
16,1904.8,4569,5,4374,2025-05-07 06:54:44
17,932.48,2705,5,899,2025-09-10 15:45:19
18,368.96,300,3,2196,2025-05-22 18:48:33
19,925.41,3950,1,665,2025-05-15 11:38:23
20,1226.3,3029,3,1898,2025-07-15 02:08:38
21,801.4,2396,3,3495,2025-04-02 09:43:02
22,214.86,749,1,1258,2025-09-06 04:50:20
23,1148.27,4472,4,4689,2025-09-18 18:44:12
24,1279.56,4633,3,4850,2025-04-04 15:31:30
25,1131.93,3649,2,474,2025-04-26 11:36:15
26,1530.59,1748,3,1219,2025-06-12 01:27:35
27,246.24,1014,2,4971,2025-08-13 08:53:53
28,1551.22,2779,1,3244,2025-06-22 23:00:42
29,1922.91,2567,4,3959,2025-06-29 17:04:01
30,204.32,364,4,3586,2025-06-06 07:45:56
31,1433.74,4543,1,1735,2025-04-04 08:23:42
32,1692.97,4200,3,153,2025-06-04 19:06:03
33,906.6,3073,2,586,2025-04-06 05:52:17
34,1109.85,2797,5,1369,2025-06-13 19:26:05
35,1711.13,2120,3,3114,2025-09-27 05:18:30
36,590.28,3910,4,4271,2025-05-23 07:21:45
37,714.67,4682,3,4737,2025-07-25 04:56:55
38,731.84,4500,2,30,2025-09-10 11:14:15
39,863.98,2684,1,816,2025-06-21 09:08:10
40,90.15,232,2,816,2025-05-15 10:48:04
41,10.77,4130,1,3156,2025-04-23 23:57:29
42,1618.5,150,4,710,2025-08-08 22:27:57
43,936.62,4507,2,1234,2025-06-21 11:08:35
44,1363.76,1888,4,408,2025-05-28 08:03:12
45,756.23,97,5,4210,2025-06-08 14:22:22
46,1221.96,894,2,1741,2025-07-25 07:18:55
47,557.99,4845,2,721,2025-09-16 06:07:42
48,792.55,1526,2,3421,2025-09-05 01:47:12
49,9.7,1266,1,552,2025-09-25 20:06:32
50,1892.43,2573,4,4054,2025-06-18 19:35:20
51,942.56,644,4,1990,2025-06-22 16:48:16
52,763.45,3914,3,4528,2025-07-28 01:42:58
53,505.35,82,4,4491,2025-07-10 23:33:23
54,1481.38,2478,2,2585,2025-05-18 22:26:31
55,1127.72,1031,2,4665,2025-08-15 01:56:38
56,1527.5,1227,3,4886,2025-05-26 08:13:50
57,1229.25,2052,2,3149,2025-09-02 15:26:38
58,1029.85,4525,1,3020,2025-05-28 23:19:00
59,1616.75,2674,1,4195,2025-07-18 09:50:27
60,1477.96,4174,5,4633,2025-07-16 15:23:20
61,354.96,4474,3,855,2025-05-25 02:39:35
62,784.77,1251,5,452,2025-05-21 22:29:52
63,1127.78,2187,3,2335,2025-05-12 14:49:09
64,1611.83,3477,4,3184,2025-07-01 02:13:53
65,1649.57,2194,4,4153,2025-06-14 12:12:34
66,710.44,4865,2,560,2025-06-24 05:34:49
67,123.98,3928,5,3017,2025-08-09 22:53:59
68,1128.36,217,5,3057,2025-09-30 20:46:53
69,1313.96,4736,4,260,2025-08-14 16:53:23
70,23.35,4509,3,357,2025-06-04 21:15:54
71,386.1,3682,3,4372,2025-05-03 06:23:04
72,1537.32,3306,4,4894,2025-04-04 19:24:52
73,113.97,3483,2,4843,2025-05-26 04:39:51
74,1619.71,3091,2,805,2025-04-27 10:26:49
75,1465.82,3580,5,2159,2025-08-18 21:22:18
76,371.55,4511,4,2450,2025-09-03 07:56:30
77,1604.87,2218,3,881,2025-05-22 14:12:59
