user_id,product_id,purchase_date,purchase_quantity
2115,3427,2023-12-26 19:45:43,2
4350,3330,2025-10-08 19:45:43,1
1552,2359,2025-06-01 19:45:43,5
1364,3995,2024-06-11 19:45:43,1
3215,2471,2024-10-28 19:45:43,1
4583,482,2024-06-11 19:45:43,4
529,3067,2024-05-21 19:45:43,3
621,2719,2024-03-21 19:45:43,4
4592,2564,2024-03-31 19:45:43,4
2473,1902,2023-10-24 19:45:43,5
4684,1767,2024-09-07 19:45:43,2
3934,3046,2024-03-06 19:45:43,1
3306,462,2024-05-25 19:45:43,4
4674,2529,2024-02-04 19:45:43,3
567,3703,2025-09-27 19:45:43,1
1678,109,2024-08-31 19:45:43,5
679,2711,2024-01-14 19:45:43,3
1105,1163,2024-02-17 19:45:43,5
2803,4003,2023-10-25 19:45:43,4
3621,3610,2025-04-01 19:45:43,3
3563,191,2024-06-17 19:45:43,3
3676,3835,2024-12-28 19:45:43,4
1902,4413,2025-01-15 19:45:43,5
370,4930,2024-01-29 19:45:43,3
2690,888,2025-06-03 19:45:43,1
2936,4129,2025-04-16 19:45:43,2
2371,3578,2024-12-12 19:45:43,5
2762,2358,2023-12-31 19:45:43,3
2223,89,2025-01-25 19:45:43,3
1601,738,2025-01-31 19:45:43,4
3269,2538,2025-01-15 19:45:43,2
2294,660,2024-09-18 19:45:43,3
3597,3434,2023-12-02 19:45:43,5
4125,3483,2025-05-27 19:45:43,2
1727,947,2024-05-14 19:45:43,5
4294,33,2025-07-21 19:45:43,3
2272,3071,2024-09-25 19:45:43,2
2916,1560,2024-10-20 19:45:43,1
2834,3075,2025-05-09 19:45:43,4
504,4927,2025-04-10 19:45:43,5
4694,4397,2024-09-04 19:45:43,2
845,57,2025-09-22 19:45:43,1
4244,3121,2024-01-29 19:45:43,4
2156,2795,2024-02-03 19:45:43,5
4719,2648,2024-12-04 19:45:43,3
2597,2426,2024-01-02 19:45:43,1
2898,1440,2025-03-19 19:45:43,2
953,1219,2025-05-02 19:45:43,3
2681,2194,2024-07-18 19:45:43,3
4811,2191,2025-09-08 19:45:43,5
1250,4164,2025-03-10 19:45:43,2
4941,1148,2025-07-10 19:45:43,2
2154,4150,2024-05-03 19:45:43,3
3074,1712,2024-04-03 19:45:43,5
462,3257,2025-10-20 19:45:43,1
2859,1283,2024-05-05 19:45:43,3
3485,4159,2025-09-07 19:45:43,3
4462,4548,2024-02-27 19:45:43,1
701,1505,2025-03-12 19:45:43,4
3194,1875,2025-05-17 19:45:43,4
1579,367,2024-10-29 19:45:43,1
4756,404,2023-11-03 19:45:43,4
785,2585,2025-09-14 19:45:43,3
4260,4146,2023-11-06 19:45:43,1
1337,639,2024-09-19 19:45:43,5
3257,270,2025-06-26 19:45:43,2
3829,2589,2024-01-15 19:45:43,1
2943,4251,2024-06-10 19:45:43,2
3768,262,2024-10-27 19:45:43,3
3969,3696,2024-11-01 19:45:43,4
4175,927,2025-01-08 19:45:43,2
256,4191,2025-08-15 19:45:43,4
2495,4777,2025-01-04 19:45:43,1
4049,404,2024-05-19 19:45:43,4
1037,2748,2025-07-06 19:45:43,4
404,605,2025-10-19 19:45:43,1
3307,1678,2025-06-18 19:45:43,4
3870,3487,2025-04-08 19:45:43,2
670,296,2024-05-22 19:45:43,1
1699,3807,2024-06-24 19:45:43,3
3929,1701,2024-06-17 19:45:43,5
786,889,2024-04-12 19:45:43,5
1014,2128,2024-09-05 19:45:43,5
373,3128,2024-04-30 19:45:43,1
2885,3045,2024-03-25 19:45:43,4
3463,4950,2025-10-06 19:45:43,4
3917,1857,2025-04-23 19:45:43,5
187,2922,2024-07-30 19:45:43,2
3938,2986,2024-11-10 19:45:43,2
1728,2781,2024-09-07 19:45:43,2
2483,4290,2024-11-28 19:45:43,2
3078,2518,2025-04-04 19:45:43,4
1841,1767,2024-04-12 19:45:43,1
695,966,2025-04-16 19:45:43,3
4645,3362,2024-08-11 19:45:43,1
98,2129,2023-11-26 19:45:43,4
705,4238,2025-10-03 19:45:43,3
1853,495,2024-03-02 19:45:43,1
1017,223,2025-06-15 19:45:43,2
268,2676,2023-11-09 19:45:43,5
399,3069,2024-02-11 19:45:43,5
4494,3142,2024-04-23 19:45:43,2
3991,3010,2025-02-20 19:45:43,2
2781,1878,2025-09-18 19:45:43,4
2842,1089,2025-02-12 19:45:43,2
1728,20,2024-09-01 19:45:43,2
2429,4701,2024-08-03 19:45:43,2
334,1567,2024-09-24 19:45:43,4
2185,3485,2025-03-02 19:45:43,5
3485,350,2024-01-11 19:45:43,1
2920,432,2024-03-05 19:45:43,1
1219,3318,2024-05-25 19:45:43,2
4918,3032,2024-09-24 19:45:43,3
1406,3766,2024-03-25 19:45:43,2
3770,2651,2024-10-09 19:45:43,2
809,2058,2025-05-15 19:45:43,3
2003,3022,2023-10-28 19:45:43,4
2113,4272,2024-07-02 19:45:43,4
3678,227,2025-09-20 19:45:43,3
2733,1489,2024-10-18 19:45:43,3
818,2764,2024-01-16 19:45:43,1
2715,376,2025-06-09 19:45:43,1
3761,4154,2025-01-07 19:45:43,2
2055,4783,2025-07-09 19:45:43,4
1852,344,2025-03-02 19:45:43,5
2759,4544,2024-01-16 19:45:43,4
2952,605,2024-10-03 19:45:43,2
338,320,2023-12-09 19:45:43,4
1292,4810,2025-07-29 19:45:43,2
4155,4672,2025-03-15 19:45:43,1
2751,2349,2024-04-04 19:45:43,2
4956,1542,2025-06-12 19:45:43,2
2958,2379,2024-02-14 19:45:43,3
4216,4370,2023-11-11 19:45:43,4
2660,3610,2024-06-16 19:45:43,4
3706,4609,2024-07-18 19:45:43,3
2011,1787,2023-12-28 19:45:43,3
4657,1505,2024-03-28 19:45:43,4
3485,1702,2024-10-10 19:45:43,3
1325,2953,2025-07-26 19:45:43,1
2062,2028,2023-12-23 19:45:43,4
1842,4884,2024-07-23 19:45:43,1
2405,1605,2024-09-12 19:45:43,4
3419,4257,2024-11-20 19:45:43,3
1748,912,2024-05-09 19:45:43,4
4399,3073,2025-02-23 19:45:43,4
2918,190,2024-07-19 19:45:43,1
1599,2403,2025-03-28 19:45:43,4
4043,1115,2024-08-17 19:45:43,1
3515,267,2024-02-01 19:45:43,3
4219,2043,2025-01-03 19:45:43,1
4305,3291,2025-05-04 19:45:43,4
3199,4557,2024-07-11 19:45:43,5
1756,101,2024-03-05 19:45:43,5
4685,4930,2024-06-19 19:45:43,5
3067,1345,2025-09-17 19:45:43,4
4959,645,2024-02-07 19:45:43,5
3457,2945,2024-03-28 19:45:43,5
1641,606,2025-09-17 19:45:43,3
200,2308,2024-09-15 19:45:43,4
2457,2582,2025-01-22 19:45:43,4
1328,1733,2024-12-09 19:45:43,2
3942,1865,2024-05-01 19:45:43,3
2861,2822,2024-03-31 19:45:43,1
3691,7,2025-03-16 19:45:43,3
1078,4534,2023-11-30 19:45:43,1
3589,2129,2025-09-02 19:45:43,3
2976,864,2024-02-11 19:45:43,1
207,229,2024-12-21 19:45:43,3
1135,3825,2025-06-28 19:45:43,4
2978,2102,2024-10-10 19:45:43,1
594,2602,2024-09-01 19:45:43,3
3368,48,2025-09-20 19:45:43,5
2796,3730,2025-06-15 19:45:43,4
1122,248,2024-08-05 19:45:43,3
4388,2433,2024-06-17 19:45:43,3
861,1216,2025-06-13 19:45:43,3
927,4235,2024-01-04 19:45:43,3
4486,4864,2024-02-13 19:45:43,4
2663,2681,2024-09-14 19:45:43,2
339,3741,2025-09-22 19:45:43,4
2784,2307,2024-06-20 19:45:43,5
2260,4696,2025-10-14 19:45:43,4
3702,2807,2025-09-08 19:45:43,1
3575,3897,2024-02-11 19:45:43,2
3975,3472,2023-12-06 19:45:43,4
2398,3209,2024-07-24 19:45:43,4
1849,2170,2023-10-25 19:45:43,5
2891,583,2025-05-23 19:45:43,4
4294,470,2024-12-22 19:45:43,2
2178,157,2024-04-25 19:45:43,2
3511,1297,2024-08-03 19:45:43,4
