uid,pid1,pid2,pid3,pid4,pid5,pid6,pid7,pid8,pid9,pid10
3,155,101,12,14,35,14,116,0,0,0
4,144,74,186,9,120,32,164,125,7,160
5,75,45,99,37,91,140,149,129,92,76
6,42,86,17,83,53,59,122,70,128,0
7,122,146,83,51,179,33,0,0,0,0
8,19,33,100,140,86,137,44,127,88,81
9,35,67,153,103,120,154,189,189,179,43
10,11,27,18,42,98,142,196,35,0,0
11,94,5,5,27,135,128,79,17,79,122
12,128,145,15,183,158,47,123,76,161,161
13,116,21,80,174,11,162,5,1,4,0
14,125,163,138,76,34,84,36,139,177,152
15,180,9,50,159,192,45,199,102,137,87
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0
24,1,62,108,190,50,69,41,0,0,0
25,0,0,0,0,0,0,0,0,0,10
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,144,76,8,70,75,3,30,130,40,134
29,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,5,0,0,0,0,10
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,6,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,9,0
38,0,0,0,0,0,0,0,0,0,0
39,37,116,55,69,67,94,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,141,197,82,188,137,134,61,0,0,0
43,0,0,0,0,0,0,0,0,0,10
44,0,0,0,0,0,0,0,0,0,0
45,160,44,183,155,97,29,161,0,0,0
46,0,0,0,0,0,0,0,0,0,0
47,10,8,0,0,5,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0
49,187,41,33,64,46,2,161,45,123,146
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0
54,1,0,0,0,0,6,0,0,0,10
55,0,2,0,0,0,0,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0
59,32,176,108,148,61,24,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0
63,120,142,185,92,164,135,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0
67,8,2,0,0,0,6,7,8,0,10
68,0,0,0,0,0,0,0,0,0,0
69,2,0,0,0,0,0,7,0,0,0
70,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0
75,1,2,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0
81,128,83,8,94,154,149,174,164,169,24
82,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0
85,97,85,146,174,115,67,174,95,163,162
86,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,10
88,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0
95,57,18,47,60,77,36,183,23,156,63
96,190,182,181,177,60,0,0,0,0,0
97,0,0,0,0,0,0,7,0,0,0
98,0,0,0,0,5,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0
100,4,42,0,143,24,88,0,0,0,0
